Date,Open,High,Low,Close,Adj Close,Volume
2020-06-24,54.779999,55.590000,54.549999,55.480000,53.534321,9771085
2020-06-25,55.480000,56.000000,54.930000,55.060001,53.129055,8825703
2020-06-26,55.099998,55.410000,54.599998,55.020000,53.090454,7352119
2020-06-29,55.340000,55.639999,55.049999,55.520000,53.572922,5654412
2020-06-30,55.389999,55.880001,54.400002,55.150002,53.215900,13764941
2020-07-01,55.040001,56.020000,55.040001,55.779999,53.823799,6825473
2020-07-02,55.910000,57.119999,55.200001,56.930000,54.933472,14200086
2020-07-03,56.590000,56.889999,55.810001,56.560001,54.576447,1287001
2020-07-06,56.709999,56.919998,54.860001,54.959999,53.032558,7292228
2020-07-07,54.950001,56.299999,54.799999,55.810001,53.852749,9154727
2020-07-08,56.110001,56.110001,54.849998,55.169998,53.235191,12016972
2020-07-09,55.060001,55.189999,54.450001,55.020000,53.090454,6706947
2020-07-10,55.020000,55.250000,54.599998,54.880001,52.955364,6969638
2020-07-13,55.189999,55.310001,53.509998,53.889999,52.000080,12560502
2020-07-14,53.759998,54.529999,53.310001,54.380001,52.472897,17500092
2020-07-15,54.509998,55.090000,53.799999,54.599998,52.685181,17265299
2020-07-16,54.730000,56.180000,54.270000,56.029999,54.065029,19065869
2020-07-17,56.189999,56.990002,55.779999,56.430000,54.451008,14190716
2020-07-20,56.150002,56.340000,55.950001,56.080002,54.113277,13408529
2020-07-21,56.200001,56.880001,55.889999,56.500000,54.518551,18013464
2020-07-22,56.209999,56.599998,56.020000,56.360001,54.383457,11258490
2020-07-23,56.660000,56.680000,55.040001,55.619999,53.669411,16115872
2020-07-24,55.520000,56.590000,55.130001,56.490002,54.508907,16457986
2020-07-27,56.340000,56.939999,55.910000,56.320000,54.344864,12664495
2020-07-28,56.220001,56.220001,54.549999,54.660000,52.743080,13352474
2020-07-29,54.709999,54.830002,53.900002,54.400002,52.492195,17334379
2020-07-30,54.299999,54.779999,52.330002,52.810001,50.957962,15524725
2020-07-31,52.980000,52.990002,51.160000,52.230000,50.398296,23843251
2020-08-03,52.410000,54.000000,52.230000,53.910000,52.019382,12385103
2020-08-04,54.480000,54.540001,53.110001,54.430000,52.521145,19704543
2020-08-05,54.599998,55.040001,54.029999,54.970001,53.042210,13246880
2020-08-06,54.990002,55.099998,53.610001,54.029999,52.135166,9441982
2020-08-07,54.230000,55.779999,54.070000,55.590000,53.640461,12034405
2020-08-10,55.590000,56.299999,54.919998,56.130001,54.161526,7054097
2020-08-11,56.380001,56.900002,56.070000,56.520000,54.537853,11497805
2020-08-12,56.680000,56.689999,56.209999,56.310001,54.335213,5885910
2020-08-13,56.349998,56.790001,55.810001,56.430000,54.451008,7287062
2020-08-14,56.450001,57.160000,56.380001,57.110001,55.107159,10324560
2020-08-17,57.049999,57.840000,56.799999,57.680000,55.657169,15449285
2020-08-18,57.849998,58.580002,57.320000,57.900002,55.869450,14628816
2020-08-19,57.810001,58.160000,57.220001,57.419998,55.406281,11785684
2020-08-20,57.279999,57.740002,56.750000,57.520000,55.502781,6064758
2020-08-21,57.459999,57.560001,56.299999,56.759998,54.769428,7361320
2020-08-24,57.029999,57.389999,56.020000,57.070000,55.068562,7907616
2020-08-25,56.820000,56.990002,55.660000,56.730000,54.740486,11521483
2020-08-26,56.680000,56.849998,55.430000,55.560001,53.611515,12208296
2020-08-27,55.790001,55.939999,54.720001,54.840000,52.916767,11299802
2020-08-28,54.660000,54.900002,54.230000,54.340000,52.434299,8324323
2020-08-31,54.119999,54.580002,52.330002,52.529999,50.687778,27991039
2020-09-01,52.790001,53.310001,52.400002,53.090000,51.228138,37492620
2020-09-02,53.439999,53.439999,52.509998,52.650002,50.803570,19973448
2020-09-03,52.520000,53.090000,52.220001,52.369999,50.533390,12041874
2020-09-04,52.299999,52.349998,51.560001,51.849998,50.031624,31815341
2020-09-07,52.070000,53.389999,51.720001,52.040001,50.214962,3344420
2020-09-08,51.910000,51.910000,50.820000,51.070000,49.278984,16183265
2020-09-09,51.169998,51.509998,50.810001,51.040001,49.250031,26326218
2020-09-10,51.259998,51.380001,50.009998,50.320000,48.555283,11326037
2020-09-11,50.560001,50.700001,49.810001,50.610001,48.835110,68861430
2020-09-14,50.939999,51.509998,50.430000,50.869999,49.085991,13220313
2020-09-15,50.970001,51.549999,50.849998,50.970001,49.182491,63311861
2020-09-17,50.849998,51.439999,50.610001,50.889999,49.105289,56147049
2020-09-18,51.169998,51.360001,50.509998,50.820000,49.037743,43309900
2020-09-21,50.990002,51.340000,50.250000,50.900002,49.114941,20278506
2020-09-22,50.700001,52.180000,50.419998,51.480000,49.674599,14877779
2020-09-23,51.570000,52.040001,50.630001,50.750000,48.970200,32743599
2020-09-24,50.660000,52.700001,50.500000,52.160000,50.330757,40334158
2020-09-25,52.259998,53.599998,51.529999,53.459999,51.585163,28020649
2020-09-28,53.889999,54.090000,53.639999,53.840000,51.951836,72708998
2020-09-29,53.889999,53.939999,53.000000,53.400002,51.527267,23283737
2020-09-30,53.599998,53.939999,52.799999,53.049999,51.189541,27560913
2020-10-01,52.840000,53.189999,52.299999,52.790001,50.938660,23258941
2020-10-02,52.570000,52.990002,51.349998,51.970001,50.147419,31373727
2020-10-05,52.099998,52.590000,51.400002,51.950001,50.128120,13435090
2020-10-06,52.070000,52.480000,51.840000,52.310001,50.475494,7870546
2020-10-07,52.490002,52.639999,52.029999,52.360001,50.523739,10237670
2020-10-08,52.360001,53.490002,52.020000,53.189999,51.324627,15769347
2020-10-09,53.430000,54.000000,53.029999,53.189999,51.324627,4758949
2020-10-12,54.000000,54.790001,53.189999,53.310001,51.440426,15735441
2020-10-13,53.180000,53.639999,52.040001,52.119999,50.292156,15996298
2020-10-14,52.290001,52.430000,50.599998,50.770000,48.989502,38547500
2020-10-15,50.650002,50.930000,50.119999,50.709999,48.931606,32809863
2020-10-16,50.759998,51.660000,50.509998,50.910000,49.124588,21324749
2020-10-19,51.029999,51.439999,50.759998,50.910000,49.124588,18790808
2020-10-20,51.450001,52.009998,51.430000,51.900002,50.079872,20579156
2020-10-21,52.020000,52.340000,51.509998,52.060001,50.234264,27747282
2020-10-22,52.150002,53.430000,51.959999,53.209999,51.343929,29859845
2020-10-23,53.110001,53.160000,52.520000,52.959999,51.102699,15317725
2020-10-26,52.990002,52.990002,51.919998,52.259998,50.427242,5278064
2020-10-27,52.139999,52.189999,51.250000,52.070000,50.243908,9636513
2020-10-28,52.000000,52.630001,51.299999,51.790001,49.973732,21580604
2020-10-29,52.080002,52.080002,51.360001,51.560001,49.751797,8555706
2020-10-30,51.360001,51.930000,51.009998,51.250000,49.452671,13078168
2020-11-03,51.380001,52.599998,50.299999,52.490002,50.649178,16234744
2020-11-04,52.790001,53.740002,52.410000,53.450001,51.575512,14821773
2020-11-05,53.740002,54.680000,53.709999,54.470001,52.559742,20208110
2020-11-06,54.340000,54.880001,53.560001,54.080002,52.183422,11947367
2020-11-09,54.889999,55.959999,52.750000,53.310001,51.440426,22228058
2020-11-10,53.470001,53.889999,52.830002,53.619999,51.739552,21888146
2020-11-11,53.880001,53.900002,52.910000,53.700001,51.816746,24370484
2020-11-12,53.500000,54.889999,53.459999,54.419998,52.511486,13664964
2020-11-13,54.389999,55.889999,54.150002,55.720001,53.765903,17851978
2020-11-17,56.150002,57.939999,56.119999,57.049999,55.049263,22883046
2020-11-18,57.200001,58.000000,56.310001,57.470001,55.454536,22838381
2020-11-19,57.470001,57.470001,55.549999,56.520000,54.537853,13002504
2020-11-20,56.549999,57.980000,56.009998,57.380001,55.367687,9329931
2020-11-23,56.910000,57.900002,56.110001,56.770000,55.212082,11860750
2020-11-24,56.000000,56.770000,54.169998,54.290001,52.800137,23519766
2020-11-25,54.400002,54.490002,52.980000,53.090000,51.633068,14294694
2020-11-26,53.099998,54.110001,52.610001,53.869999,52.391663,8511081
